Runtimes for maximum sub-array algorithms (seconds)

Array		Algorithm 1		Algorithm 2		Algorithm 3		Algorithm 4
Length

10			0.000146150588989			5.19752502441e-05			8.10623168945e-05			1.59740447998e-05
20			0.000677108764648			0.000154972076416			0.000152111053467			2.31266021729e-05
40			0.00383806228638			0.00049901008606			0.000312805175781			3.50475311279e-05
80			0.0242009162903			0.00183200836182			0.000645160675049			6.29425048828e-05
160			0.1696600914			0.00708103179932			0.00136494636536			0.000116109848022
320			0.807360887527			0.0119590759277			0.0011248588562			8.51154327393e-05
640			3.89556002617			0.047562122345			0.00237488746643			0.000164985656738
1280			31.423593998			0.192635059357			0.00505399703979			0.000329971313477
2560			253.224936962			0.773458003998			0.0105469226837			0.000654935836792
5120			2055.36005998			3.15615296364			0.0220439434052			0.00133514404297
